stratum,method,snr_db,conditions,records,availability,standardized_absolute_bias,standardized_rmse,pass_proportion_half_tolerance,pass_proportion_primary_tolerance,pass_proportion_double_tolerance,numerical_gates_pass,interpretation
interruption,stft,20.0,6,600,1.0,0.00586471406764313,2.382819723527665,0.03666666666666667,0.4,0.8266666666666667,False,exploratory SNR slice; not a frozen validity domain
interruption,stft,30.0,6,600,1.0,0.3857056134578777,0.45626531691431604,0.5983333333333334,0.9983333333333333,1.0,False,exploratory SNR slice; not a frozen validity domain
interruption,stft,40.0,3,300,1.0,0.09904729141644734,0.22857617713687675,1.0,1.0,1.0,True,exploratory SNR slice; not a frozen validity domain
interruption,stft,50.0,5,500,1.0,0.14872289674674477,0.16675746386651844,1.0,1.0,1.0,True,exploratory SNR slice; not a frozen validity domain
interruption,vmd,20.0,6,600,1.0,2.609935764873744,4.734916326646136,0.11333333333333333,0.30833333333333335,0.5783333333333334,False,exploratory SNR slice; not a frozen validity domain
interruption,vmd,30.0,6,600,1.0,0.5344935519115998,3.331104766557324,0.01,0.03166666666666667,0.12,False,exploratory SNR slice; not a frozen validity domain
interruption,vmd,40.0,3,300,1.0,1.5468313163287821,4.755153939349045,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
interruption,vmd,50.0,5,500,1.0,1.1044777734395494,2.1181792953714527,0.0,0.004,0.6,False,exploratory SNR slice; not a frozen validity domain
interruption,wavelet,20.0,6,600,1.0,1.191006372150267,2.1550285534042986,0.0,0.6666666666666666,0.6666666666666666,False,exploratory SNR slice; not a frozen validity domain
interruption,wavelet,30.0,6,600,1.0,0.2423952684072242,3.371403728398561,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
interruption,wavelet,40.0,3,300,1.0,1.3767802511609317,4.50394239479971,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
interruption,wavelet,50.0,5,500,1.0,1.128890047940474,2.042600606404854,0.0,0.0,0.6,False,exploratory SNR slice; not a frozen validity domain
notching,s_transform,20.0,6,600,1.0,9.357608595906466,9.649944376714515,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
notching,s_transform,30.0,7,700,1.0,2.3956322117968227,4.758572216872388,0.0014285714285714286,0.14285714285714285,0.2857142857142857,False,exploratory SNR slice; not a frozen validity domain
notching,s_transform,40.0,6,600,1.0,0.7297376809791779,2.790638937000793,0.16666666666666666,0.5,0.6666666666666666,False,exploratory SNR slice; not a frozen validity domain
notching,s_transform,50.0,2,200,1.0,1.3114704403966102,3.5266396533617677,0.0,0.0,0.5,False,exploratory SNR slice; not a frozen validity domain
notching,stft,20.0,6,600,1.0,4.179732730943459,4.575913109442877,0.015,0.15333333333333332,0.16666666666666666,False,exploratory SNR slice; not a frozen validity domain
notching,stft,30.0,7,700,1.0,2.321995782917827,6.850967194489191,0.2042857142857143,0.2857142857142857,0.42857142857142855,False,exploratory SNR slice; not a frozen validity domain
notching,stft,40.0,6,600,1.0,0.11550943664933973,3.9133256355003074,0.16666666666666666,0.16666666666666666,0.3333333333333333,False,exploratory SNR slice; not a frozen validity domain
notching,stft,50.0,2,200,1.0,2.660792232408957,6.544060651503661,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
notching,vmd,20.0,6,600,1.0,4.585057923548712,6.060835145132001,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
notching,vmd,30.0,7,700,1.0,2.0822887274763127,6.672427954202794,0.2842857142857143,0.38285714285714284,0.42857142857142855,False,exploratory SNR slice; not a frozen validity domain
notching,vmd,40.0,6,600,1.0,0.2395533779126898,4.357280201785442,0.16666666666666666,0.22166666666666668,0.3333333333333333,False,exploratory SNR slice; not a frozen validity domain
notching,vmd,50.0,2,200,1.0,2.6817002939535244,7.924867890307677,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
notching,wavelet,20.0,6,600,1.0,3.318171348472289,4.001355541778166,0.0016666666666666668,0.165,0.32,False,exploratory SNR slice; not a frozen validity domain
notching,wavelet,30.0,7,700,1.0,3.2696131623434503,8.127931899540611,0.12714285714285714,0.42857142857142855,0.42857142857142855,False,exploratory SNR slice; not a frozen validity domain
notching,wavelet,40.0,6,600,1.0,0.7063285257542473,5.100537144349581,0.0,0.0,0.3333333333333333,False,exploratory SNR slice; not a frozen validity domain
notching,wavelet,50.0,2,200,1.0,2.70988646054494,9.537404179971029,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,s_transform,20.0,7,700,1.0,3.635572620977259,18.397048574232187,0.2857142857142857,0.2857142857142857,0.2857142857142857,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,s_transform,30.0,7,700,1.0,4.178076319195766,14.351268295813922,0.0,0.14285714285714285,0.14285714285714285,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,s_transform,40.0,5,500,1.0,13.318363749769212,23.04638512504308,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,s_transform,50.0,8,800,1.0,14.217736158773313,25.471612999655378,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,stft,20.0,7,700,1.0,4.8042997032136086,23.633568876458902,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,stft,30.0,7,700,1.0,0.3654105206003533,19.367347266882852,0.14285714285714285,0.14285714285714285,0.14285714285714285,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,stft,40.0,5,500,1.0,16.35676376252259,29.62863462266368,0.0,0.2,0.2,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,stft,50.0,8,800,1.0,11.401499905005535,32.781389806106795,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,vmd,20.0,7,700,0.2857142857142857,1.0169182004254602,2.2438751145945948,0.0,0.08285714285714285,0.14285714285714285,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,vmd,30.0,7,700,0.7171428571428572,2.3564904113920018,7.277019335187202,0.0,0.14285714285714285,0.14285714285714285,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,vmd,40.0,5,500,0.934,7.984952091077793,11.050652614128191,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,vmd,50.0,8,800,0.99375,6.048597075081253,11.936193931674769,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,wavelet,20.0,7,700,1.0,5.150398196853717,23.802219229845786,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,wavelet,30.0,7,700,1.0,0.7564472347291147,16.99793980001909,0.14285714285714285,0.14285714285714285,0.14285714285714285,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,wavelet,40.0,5,500,1.0,16.74768926310349,29.920081199810866,0.0,0.0,0.2,False,exploratory SNR slice; not a frozen validity domain
oscillatory_transient,wavelet,50.0,8,800,1.0,11.744253670072162,33.012337956375426,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,s_transform,20.0,6,600,1.0,2.0803689870133484,4.1948578732935475,0.03333333333333333,0.6633333333333333,0.6666666666666666,False,exploratory SNR slice; not a frozen validity domain
sag,s_transform,30.0,4,400,1.0,5.953128461768428,6.973995219093389,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,s_transform,40.0,7,700,1.0,1.115266438274895,6.8381817141945005,0.0,0.14285714285714285,0.3942857142857143,False,exploratory SNR slice; not a frozen validity domain
sag,s_transform,50.0,2,200,1.0,5.250748647296233,10.178690129317904,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,stft,20.0,6,600,1.0,0.6287387313037429,5.894792480110821,0.0,0.0,0.09,False,exploratory SNR slice; not a frozen validity domain
sag,stft,30.0,4,400,1.0,5.029681461388553,5.26436315313687,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,stft,40.0,7,700,1.0,2.054149616177815,5.188493836301547,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,stft,50.0,2,200,1.0,0.9294151493785313,7.222913571267406,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,vmd,20.0,6,600,1.0,0.6436025252392411,11.487536758331302,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
