stratum,outcome,tolerance_level,primary_decision_level,method,condition_n,marginal_probability,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
sag,qualification_pass,primary_tolerance,True,stft,19,0.0,0.0,0.0
sag,qualification_pass,primary_tolerance,True,wavelet,19,0.32052631578947366,0.11473684210526316,0.5310526315789473
sag,qualification_pass,primary_tolerance,True,s_transform,19,0.2621052631578948,0.1031578947368421,0.47263157894736846
sag,qualification_pass,primary_tolerance,True,vmd,19,0.05263157894736842,0.0,0.15789473684210525
sag,qualification_pass,double_tolerance,False,stft,19,0.028421052631578948,0.0,0.08052631578947368
sag,qualification_pass,double_tolerance,False,wavelet,19,0.3663157894736842,0.1578421052631579,0.5768421052631579
sag,qualification_pass,double_tolerance,False,s_transform,19,0.3557894736842105,0.14526315789473684,0.5789473684210527
sag,qualification_pass,double_tolerance,False,vmd,19,0.10526315789473684,0.0,0.2631578947368421
swell,qualification_pass,half_tolerance,False,stft,18,0.012777777777777779,0.0,0.03833333333333334
swell,qualification_pass,half_tolerance,False,wavelet,18,0.06333333333333334,0.0,0.18222222222222223
swell,qualification_pass,half_tolerance,False,s_transform,18,0.2777777777777778,0.1111111111111111,0.5
swell,qualification_pass,half_tolerance,False,vmd,18,0.1111111111111111,0.0,0.2777777777777778
swell,qualification_pass,primary_tolerance,True,stft,18,0.18222222222222223,0.02544444444444445,0.3533333333333333
swell,qualification_pass,primary_tolerance,True,wavelet,18,0.28944444444444445,0.1111111111111111,0.5
swell,qualification_pass,primary_tolerance,True,s_transform,18,0.4694444444444444,0.24722222222222223,0.6916666666666667
swell,qualification_pass,primary_tolerance,True,vmd,18,0.2222222222222222,0.05555555555555555,0.4444444444444444
swell,qualification_pass,double_tolerance,False,stft,18,0.7777777777777778,0.5555555555555556,0.9444444444444444
swell,qualification_pass,double_tolerance,False,wavelet,18,0.7127777777777777,0.49222222222222217,0.8888888888888888
swell,qualification_pass,double_tolerance,False,s_transform,18,0.7222222222222222,0.5,0.8888888888888888
swell,qualification_pass,double_tolerance,False,vmd,18,0.5555555555555556,0.3333333333333333,0.7777777777777778
oscillatory_transient,primary_frequency_availability,not_applicable,False,stft,27,1.0,1.0,1.0
oscillatory_transient,primary_frequency_availability,not_applicable,False,wavelet,27,1.0,1.0,1.0
oscillatory_transient,primary_frequency_availability,not_applicable,False,s_transform,27,1.0,1.0,1.0
oscillatory_transient,primary_frequency_availability,not_applicable,False,vmd,27,0.7274074074074074,0.5544259259259259,0.8766666666666667
