stratum,model,term,estimate,standard_error,z,p_value,holm_p_value
flicker,qualification_pass,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",-3.14470815995605,0.48969959586086526,-6.4217087098628785,1.347530946957459e-10,1.0780247575659671e-09
flicker,qualification_pass,property_scaled,-0.6384955104689788,0.745560516084266,-0.8563966260209167,0.39177843030823134,1.0
harmonics,continuous_error,Intercept,0.4412533591825424,0.13736947408650385,3.2121645810820953,0.0013173888186567013,0.00922172173059691
harmonics,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",-0.07947010660749287,0.0029671098215333968,-26.783675491466262,5.006991225100408e-158,5.006991225100408e-157
harmonics,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",0.09180407339119555,0.0029671098215333968,30.940571435859887,3.402422245797772e-210,3.7426644703775496e-209
harmonics,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",-0.0017385535553380092,0.0029671098215333968,-0.5859417614813893,0.5579146520915655,1.0
harmonics,continuous_error,C(phase_deg)[T.45.0],-0.220133977959533,0.2607756278122902,-0.8441508886635234,0.39858509402551,1.0
harmonics,continuous_error,C(phase_deg)[T.90.0],-0.2922251624934966,0.1371635425254783,-2.1304871331914996,0.03313141696737169,0.19878850180423013
harmonics,continuous_error,C(phase_deg)[T.135.0],-0.29956784091085176,0.1847201425541092,-1.6217389006350553,0.10485926574861265,0.5242963287430633
harmonics,continuous_error,snr_scaled,-0.01524611906813858,0.028749598205336315,-0.5303072049649965,0.5958989520416309,1.0
harmonics,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",0.035831959204409174,0.0032737006269264535,10.94539888885636,6.99093245940391e-28,5.592745967523128e-27
harmonics,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",-0.12550546930662052,0.003273700626926453,-38.337491300923446,0.0,0.0
harmonics,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",0.04361494692303415,0.003273700626926453,13.322826945230629,1.7052605943422648e-40,1.5347345349080383e-39
harmonics,continuous_error,property_scaled,-0.12822432415490506,0.10473533837088599,-1.2242699183425607,0.22085042093176055,0.8834016837270422
harmonics,qualification_pass,Intercept,-4.359414745820345,1.0548268603821558,-4.132824930378586,3.58331665780782e-05,0.00025083216604654743
harmonics,qualification_pass,"C(method, Treatment(reference='stft'))[T.wavelet]",4.4042808910768025,0.18976519708773648,23.209107669202993,3.6843813508900903e-119,4.421257621068108e-118
harmonics,qualification_pass,"C(method, Treatment(reference='stft'))[T.s_transform]",1.6834624128162474,0.1555629423640429,10.821744479971768,2.7155864879859776e-27,2.4440278391873797e-26
harmonics,qualification_pass,"C(method, Treatment(reference='stft'))[T.vmd]",-8.21357723728936,0.6449476122653244,-12.735262649379939,3.765766876225367e-37,3.765766876225367e-36
harmonics,qualification_pass,C(phase_deg)[T.45.0],-2.9945945512522902,1.6571679659717578,-1.8070555385713543,0.0707536200927913,0.3537681004639565
harmonics,qualification_pass,C(phase_deg)[T.90.0],2.3857710804701173,1.7096898512624117,1.3954408623929635,0.16288293631264117,0.6515317452505647
harmonics,qualification_pass,C(phase_deg)[T.135.0],0.009537045249573748,1.5016190180331157,0.006351175055085393,0.9949325295487318,1.0
harmonics,qualification_pass,snr_scaled,-0.35774914465125823,0.9883421869430077,-0.3619689105428095,0.7173752631474248,1.0
harmonics,qualification_pass,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",1.053412400687683,0.1939333626595166,5.431826614264044,5.578010734104039e-08,4.462408587283231e-07
harmonics,qualification_pass,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",0.4273570868990044,0.17526728363762542,2.438316370456156,0.014755853511530555,0.08853512106918333
harmonics,qualification_pass,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",-9.884165443095954,0.5648313756854063,-17.499320803667835,1.4498778152042766e-68,1.5948655967247042e-67
harmonics,qualification_pass,property_scaled,-0.5847867856560686,0.9845430946850109,-0.593967687969171,0.5525337247832744,1.0
impulsive_transient,continuous_error,Intercept,0.21760593638012543,0.05211515335941113,4.17548299012785,2.9735447373569504e-05,0.00017841268424141702
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",0.05995725920504699,0.0035849840404460907,16.72455400877777,8.682369297616533e-63,7.814132367854879e-62
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",0.19344201572962472,0.0035849840404460907,53.95896147575433,0.0,0.0
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",0.08893755288208337,0.00358498404044609,24.808353922550967,7.2846573620407e-136,7.2846573620407e-135
impulsive_transient,continuous_error,C(phase_deg)[T.45.0],0.01819786240214084,0.12253976648689613,0.14850577019898958,0.8819436324893188,0.8819436324893188
impulsive_transient,continuous_error,C(phase_deg)[T.90.0],-0.12309635242798182,0.047788640674688306,-2.575849630583465,0.009999412167996715,0.04999706083998357
impulsive_transient,continuous_error,C(phase_deg)[T.135.0],-0.10871728056128604,0.08450344100456264,-1.286542645706179,0.19825374553654995,0.5947612366096499
impulsive_transient,continuous_error,snr_scaled,-0.024190320389074343,0.01212992351868725,-1.9942681709251469,0.04612275568031007,0.18449102272124027
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",0.04891247863602879,0.0035134543124479317,13.921478489910962,4.690988697047084e-44,3.283692087932959e-43
