stratum,outcome,tolerance_level,primary_decision_level,method_a,method_b,condition_n,probability_difference_a_minus_b,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_p_value,holm_p_value
flicker,qualification_pass,double_tolerance,False,wavelet,vmd,36,-0.027777777777777776,-0.1388888888888889,0.055555555555555566,0.7876061969015492,0.7876061969015492
flicker,qualification_pass,double_tolerance,False,s_transform,vmd,36,0.8452777777777778,0.7183333333333334,0.9505555555555555,0.0009995002498750624,0.005997001499250375
harmonics,qualification_pass,half_tolerance,False,stft,wavelet,27,-0.028148148148148148,-0.1622222222222222,0.09,0.6846576711644178,1.0
harmonics,qualification_pass,half_tolerance,False,stft,s_transform,27,-0.02851851851851852,-0.13297222222222221,0.06815740740740736,0.5627186406796602,1.0
harmonics,qualification_pass,half_tolerance,False,stft,vmd,27,-0.010740740740740742,-0.1262962962962963,0.10111111111111111,0.8395802098950524,1.0
harmonics,qualification_pass,half_tolerance,False,wavelet,s_transform,27,-0.00037037037037037035,-0.15518518518518518,0.14777777777777779,1.0,1.0
harmonics,qualification_pass,half_tolerance,False,wavelet,vmd,27,0.017407407407407406,-0.10814814814814815,0.14964814814814803,0.769615192403798,1.0
harmonics,qualification_pass,half_tolerance,False,s_transform,vmd,27,0.017777777777777778,-0.1074074074074074,0.15112037037037032,0.7996001999000499,1.0
harmonics,qualification_pass,primary_tolerance,True,stft,wavelet,27,-0.2574074074074074,-0.44407407407407407,-0.0710925925925927,0.015992003998001,0.095952023988006
harmonics,qualification_pass,primary_tolerance,True,stft,s_transform,27,-0.07296296296296297,-0.18518518518518517,0.0022222222222222296,0.24887556221889057,0.7466266866566718
harmonics,qualification_pass,primary_tolerance,True,stft,vmd,27,-0.050740740740740746,-0.22889814814814813,0.13337037037037014,0.5827086456771614,1.0
harmonics,qualification_pass,primary_tolerance,True,wavelet,s_transform,27,0.18444444444444447,-0.037037037037037035,0.4055555555555556,0.11594202898550725,0.463768115942029
harmonics,qualification_pass,primary_tolerance,True,wavelet,vmd,27,0.20666666666666667,0.006657407407407396,0.4111296296296295,0.04297851074462768,0.21489255372313842
harmonics,qualification_pass,primary_tolerance,True,s_transform,vmd,27,0.022222222222222216,-0.1908055555555556,0.23852777777777773,0.8395802098950524,1.0
harmonics,qualification_pass,double_tolerance,False,stft,wavelet,27,-0.36333333333333334,-0.5448148148148149,-0.1925925925925927,0.0009995002498750624,0.005997001499250375
