stratum,model,term,estimate,standard_error,z,p_value,holm_p_value
harmonics,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",0.04361494692303415,0.003273700626926453,13.322826945230629,1.7052605943422648e-40,1.5347345349080383e-39
harmonics,continuous_error,property_scaled,-0.12822432415490506,0.10473533837088599,-1.2242699183425607,0.22085042093176055,0.8834016837270422
impulsive_transient,continuous_error,Intercept,0.21760593638012543,0.05211515335941113,4.17548299012785,2.9735447373569504e-05,0.00017841268424141702
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",0.05995725920504699,0.0035849840404460907,16.72455400877777,8.682369297616533e-63,7.814132367854879e-62
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",0.19344201572962472,0.0035849840404460907,53.95896147575433,0.0,0.0
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",0.08893755288208337,0.00358498404044609,24.808353922550967,7.2846573620407e-136,7.2846573620407e-135
impulsive_transient,continuous_error,C(phase_deg)[T.45.0],0.01819786240214084,0.12253976648689613,0.14850577019898958,0.8819436324893188,0.8819436324893188
impulsive_transient,continuous_error,C(phase_deg)[T.90.0],-0.12309635242798182,0.047788640674688306,-2.575849630583465,0.009999412167996715,0.04999706083998357
impulsive_transient,continuous_error,C(phase_deg)[T.135.0],-0.10871728056128604,0.08450344100456264,-1.286542645706179,0.19825374553654995,0.5947612366096499
impulsive_transient,continuous_error,snr_scaled,-0.024190320389074343,0.01212992351868725,-1.9942681709251469,0.04612275568031007,0.18449102272124027
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",0.04891247863602879,0.0035134543124479317,13.921478489910962,4.690988697047084e-44,3.283692087932959e-43
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",-0.3100122468137618,0.0035134543124479335,-88.23574159351075,0.0,0.0
impulsive_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",-0.051853717002869545,0.0035134543124479343,-14.758614284282931,2.707874467471044e-49,2.1662995739768352e-48
impulsive_transient,continuous_error,property_scaled,0.04040573211970632,0.04765583901088278,0.847865297481788,0.3965129928171022,0.7930259856342043
interruption,continuous_error,Intercept,0.10205332856368995,0.05484585444615562,1.8607300331856405,0.0627823103931927,0.3139115519659635
interruption,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",0.19096467036643966,0.0035045637953801776,54.49028224801474,0.0,0.0
interruption,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",0.19376698571934312,0.0035045637953801767,55.289901121153136,0.0,0.0
interruption,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",0.22680572095891052,0.003504563795380178,64.71724705308338,0.0,0.0
interruption,continuous_error,C(phase_deg)[T.45.0],-0.05126870652767718,0.15670087741216435,-0.3271756187607492,0.7435350604167801,1.0
interruption,continuous_error,C(phase_deg)[T.90.0],0.10092632971375785,0.08457342256415688,1.193357518872974,0.23272938472419247,0.6981881541725774
interruption,continuous_error,C(phase_deg)[T.135.0],-0.1630300239743059,0.09887514492099243,-1.6488473832789559,0.09917890485280041,0.39671561941120165
interruption,continuous_error,snr_scaled,-0.043670401191710694,0.019284408056357925,-2.264544551436874,0.023540642866112276,0.14124385719667365
